Nome,Endereço,Cidade,Avaliação,Tipos,Latitude,Longitude,Place_ID
"Jardim Botânico Municipal de Americana ""Prefeito Carroll Meneghel""","Av. Brasil Sul, 400 - Parque Res. Nardini, Americana - SP, 13465-810, Brasil","Americana, SP",4.6,"atração turística, parque, ponto de interesse, estabelecimento",-22.759.574,-473.545.159,ChIJffzCGV-ZyJQRS645iu04Fz8
Basílica Santuário Santo Antônio de Pádua,"R. Vieira Bueno, 150 - Centro, Americana - SP, 13465-270, Brasil","Americana, SP",4.8,"atração turística, igreja, local de culto, ponto de interesse, estabelecimento",-227.391.486,-473.309.707,ChIJkTmcyjKayJQRAzu4jyzqpgo
Parque Ecológico de Americana,"Av. Brasil, 2525 - Jardim Ipiranga, Americana - SP, 13468-000, Brasil","Americana, SP",4.3,"zoológico, atração turística, parque, ponto de interesse, estabelecimento",-227.523.193,-473.530.285,ChIJk14Jw-CbyJQRq7hsBXfciOc
Jardim Botânico de Americana,"R. Abrahim Abraham, 1562 - Parque Res. Nardini, Americana - SP, 13468-395, Brasil","Americana, SP",4.4,"parque, ponto de interesse, estabelecimento",-22.757.585,-4.735.243.209.999.990,ChIJtZQKXcWZyJQRO0kPr1WzbcU
Parque Aimaratá,"R. Alvaro Dell Agnese, 101 - Pacaembu, Americana - SP, 13470-805, Brasil","Americana, SP",4.4,"atração turística, parque, restaurante, alimentação, ponto de interesse, estabelecimento",-226.953.973,-473.808.575,ChIJUf0t5LGcyJQR725vfxgrfwY
Bosque das Nascentes,"R. Érico Veríssimo - Antonio Zanaga, Americana - SP, 13474-544, Brasil","Americana, SP",4.4,"parque, ponto de interesse, estabelecimento",-227.010.008,-472.996.187,ChIJ1ynNg4eayJQRNCmcJ5EaNyw
Orla Praia dos Namorados,"Av. José Ferreira Coelho, 498-590 - Parque Mangueira, Americana - SP, 13475-470, Brasil","Americana, SP",4.5,"atração turística, ponto de interesse, estabelecimento",-227.051.849,-4.726.831.809.999.990,ChIJD76dH3eRyJQRCUoVxhCI67c
Passagem de Nível ferroviária de Americana-SP,"Centro, Americana - SP, 13478-700, Brasil","Americana, SP",0.0,"atração turística, ponto de interesse, estabelecimento",-227.365.851,-4.732.868.819.999.990,ChIJMa1AOrybyJQR2mQX2Vz-NTY
Curva do S pátio de Americana-SP (zac-zno),"Av. Bandeirantes - Conserva, Americana - SP, 13465-035, Brasil","Americana, SP",5.0,"atração turística, ponto de interesse, estabelecimento",-227.447.233,-4.732.313.569.999.990,ChIJ1YrCTR6byJQRbSS0EGOiI9s
Mirante da Represa de Americana,"Bosque dos Ipês, Americana - SP, Brasil","Americana, SP",4.4,"atração turística, ponto de interesse, estabelecimento",-226.986.388,-472.621.304,ChIJIZOGxW6RyJQRlCjWl6QQE0g
"Parque ""Tio Gagá""","R. Otaviano Oladio da Silva, 219-291 - Jardim Gloria, Americana - SP, 13468-250, Brasil","Americana, SP",4.6,"parque, ponto de interesse, estabelecimento",-227.595.962,-4.734.591.330.000.000,ChIJLWxP_2OZyJQRhcLvJeKGXxM
Canyons de Americana,"8P4G+4G - Vila Praia Azul, Americana - SP, Brasil","Americana, SP",3.7,"atração turística, ponto de interesse, estabelecimento",-226.947.153,-47.273.718,ChIJGyQckzqRyJQRK0OI8xcXyD8
